query,seed_eggNOG_ortholog,evalue,score,eggNOGs,domain,COG Cat.,eggNOG HMM Desc.,predicted name,GO_terms,EC,KEGG KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
WP_011092597.1,218491.ECA0997,2.00E-186,658.3,"COG1609@1|root,COG1609@2|Bacteria,1MUEP@1224|Proteobacteria,1RQKH@1236|Gammaproteobacteria,1MSAF@122277|Pectobacterium",1236|Gammaproteobacteria,K,periplasmic binding protein LacI transcriptional regulator,idnR,-,-,ko:K06145,-,-,-,-,"ko00000,ko03000",-,-,-,"LacI,Peripla_BP_3"
WP_011092599.1,218491.ECA1000,1.20E-227,795.4,"COG0860@1|root,COG0860@2|Bacteria,1MUQK@1224|Proteobacteria,1RMP1@1236|Gammaproteobacteria,1MSE9@122277|Pectobacterium",1236|Gammaproteobacteria,M,Ami_3,amiC,"GO:0000003,GO:0000910,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0007049,GO:0008150,GO:0008745,GO:0009987,GO:0016787,GO:0016810,GO:0016811,GO:0019954,GO:0022402,GO:0022414,GO:0030288,GO:0030313,GO:0031975,GO:0032505,GO:0042597,GO:0043093,GO:0044464,GO:0051301,GO:0061783",3.5.1.28,ko:K01448,"ko01503,map01503",M00727,R04112,"RC00064,RC00141","ko00000,ko00001,ko00002,ko01000,ko01011,ko03036",-,-,"iPC815.YPO1023,iSDY_1059.SDY_3034,iYL1228.KPN_03225","AMIN,Amidase_3,LysM"
WP_011092600.1,218491.ECA1001,6.90E-217,759.6,"COG2821@1|root,COG2821@2|Bacteria,1MXD4@1224|Proteobacteria,1RP7K@1236|Gammaproteobacteria,1MS2D@122277|Pectobacterium",1236|Gammaproteobacteria,M,Murein-degrading enzyme. May play a role in recycling of muropeptides during cell elongation and or cell division,mltA,"GO:0000270,GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0008150,GO:0008152,GO:0008933,GO:0009056,GO:0009057,GO:0009253,GO:0009279,GO:0016020,GO:0016021,GO:0016740,GO:0016757,GO:0016787,GO:0016798,GO:0019867,GO:0030203,GO:0030288,GO:0030312,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0042597,GO:0043170,GO:0044425,GO:0044459,GO:0044462,GO:0044464,GO:0061783,GO:0071704,GO:0071944,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575",-,ko:K08304,-,-,-,-,"ko00000,ko01000,ko01011",-,GH102,iECABU_c1320.ECABU_c30840,"3D,MltA"
WP_011092601.1,218491.ECA1002,2.90E-173,614.4,"COG0329@1|root,COG0329@2|Bacteria,1PPX6@1224|Proteobacteria,1RYXH@1236|Gammaproteobacteria,1MQA9@122277|Pectobacterium",1236|Gammaproteobacteria,EM,Dihydrodipicolinate synthetase family,-,-,4.3.3.7,ko:K01714,"ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00525,M00526,M00527",R10147,"RC03062,RC03063","ko00000,ko00001,ko00002,ko01000",-,-,-,DHDPS
WP_011092602.1,218491.ECA1003,1.10E-121,442.6,"COG1309@1|root,COG1309@2|Bacteria,1RDIM@1224|Proteobacteria,1S401@1236|Gammaproteobacteria,1MQ7I@122277|Pectobacterium",1236|Gammaproteobacteria,K,"Bacterial regulatory proteins, tetR family",psrA,-,-,-,-,-,-,-,-,-,-,-,TetR_N
WP_011092603.1,218491.ECA1004,1.40E-261,908.3,"COG1473@1|root,COG1473@2|Bacteria,1MUIV@1224|Proteobacteria,1RQAM@1236|Gammaproteobacteria,1MT42@122277|Pectobacterium",1236|Gammaproteobacteria,S,Peptidase dimerisation domain,hipO,-,3.5.1.32,ko:K01451,"ko00360,map00360",-,R01424,"RC00096,RC00162","ko00000,ko00001,ko01000,ko01002",-,-,-,"M20_dimer,Peptidase_M20"
WP_011092604.1,218491.ECA1005,0,1123.6,"COG1123@1|root,COG4172@2|Bacteria,1MU09@1224|Proteobacteria,1RMEI@1236|Gammaproteobacteria,1MRD9@122277|Pectobacterium",1236|Gammaproteobacteria,P,"Oligopeptide/dipeptide transporter, C-terminal region",-,-,-,"ko:K02031,ko:K02032,ko:K13892,ko:K13896,ko:K19229,ko:K19230","ko01503,ko02010,ko02024,map01503,map02010,map02024","M00239,M00348,M00349,M00739",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.5,3.A.1.5.11,3.A.1.5.21,3.A.1.5.24,3.A.1.5.5",-,-,"ABC_tran,oligo_HPY"
WP_011092605.1,218491.ECA1006,9.60E-164,582.8,"COG1173@1|root,COG1173@2|Bacteria,1MVHY@1224|Proteobacteria,1RS0X@1236|Gammaproteobacteria,1MS9V@122277|Pectobacterium",1236|Gammaproteobacteria,P,ABC transporter permease,-,-,-,ko:K02034,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,"BPD_transp_1,OppC_N"
WP_011092606.1,218491.ECA1007,3.90E-176,624,"COG0601@1|root,COG0601@2|Bacteria,1MU8Z@1224|Proteobacteria,1RNJ1@1236|Gammaproteobacteria,1MS56@122277|Pectobacterium",1236|Gammaproteobacteria,P,ABC transporter permease,-,-,-,ko:K02033,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,BPD_transp_1
WP_011092607.1,218491.ECA1008,0.00E+00,1067.8,"COG0747@1|root,COG0747@2|Bacteria,1MUZH@1224|Proteobacteria,1S0TI@1236|Gammaproteobacteria,1MQ8B@122277|Pectobacterium",1236|Gammaproteobacteria,E,ABC transporter,-,-,-,ko:K02035,"ko02024,map02024",M00239,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,-,-,SBP_bac_5
WP_011092608.1,218491.ECA1009,0,1551.2,"COG0243@1|root,COG0243@2|Bacteria,1NR6J@1224|Proteobacteria,1RMVE@1236|Gammaproteobacteria,1MQR0@122277|Pectobacterium",1236|Gammaproteobacteria,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,bisC,-,-,ko:K08351,"ko00780,ko01100,map00780,map01100",-,R10127,RC03056,"ko00000,ko00001,ko01000,ko02000",5.A.3.4,-,-,"Molybdopterin,Molydop_binding"
WP_011092609.1,218491.ECA1010,5.80E-149,533.5,"COG1179@1|root,COG1179@2|Bacteria,1MWXR@1224|Proteobacteria,1RMT3@1236|Gammaproteobacteria,1MRVP@122277|Pectobacterium",1236|Gammaproteobacteria,H,ThiF family,ygdL,"GO:0003674,GO:0003824,GO:0005488,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016829,GO:0016835,GO:0016836,GO:0030955,GO:0031402,GO:0031420,GO:0034470,GO:0034641,GO:0034660,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0046872,GO:0061503,GO:0061504,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360",-,ko:K22132,-,-,-,-,"ko00000,ko03016",-,-,-,ThiF
WP_011092610.1,218491.ECA1011,5.10E-78,297,"COG2166@1|root,COG2166@2|Bacteria,1REQB@1224|Proteobacteria,1S44J@1236|Gammaproteobacteria,1MSJ0@122277|Pectobacterium",1236|Gammaproteobacteria,S,Fe-S metabolism,csdE,"GO:0003674,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0061504,GO:0071704,GO:0090304,GO:0097163,GO:0140104,GO:1901360",-,ko:K02426,-,-,-,-,ko00000,-,-,-,SufE
WP_011092611.1,218491.ECA1012,7.60E-230,802.7,"COG0520@1|root,COG0520@2|Bacteria,1MUPD@1224|Proteobacteria,1RNIY@1236|Gammaproteobacteria,1MRT6@122277|Pectobacterium",1236|Gammaproteobacteria,E,Aminotransferase class-V,csdA,"GO:0000096,GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006520,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016782,GO:0016783,GO:0019752,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564","2.8.1.7,4.4.1.16","ko:K01766,ko:K11717","ko00450,ko01100,map00450,map01100",-,"R03599,R11528","RC00961,RC01789,RC02313","ko00000,ko00001,ko01000",-,-,"iAF1260.b2810,iAPECO1_1312.APECO1_3722,iB21_1397.B21_02622,iBWG_1329.BWG_2548,iEC55989_1330.EC55989_3089,iECBD_1354.ECBD_0912,iECB_1328.ECB_02661,iECDH10B_1368.ECDH10B_2980,iECDH1ME8569_1439.ECDH1ME8569_2720,iECD_1391.ECD_02661,iECS88_1305.ECS88_3079,iETEC_1333.ETEC_3000,iEcDH1_1363.EcDH1_0878,iEcolC_1368.EcolC_0902,iJO1366.b2810,iPC815.YPO1028,iUMNK88_1353.UMNK88_3495,iY75_1357.Y75_RS14620",Aminotran_5
WP_011092612.1,218491.ECA1013,3.50E-32,143.7,"2E9MC@1|root,32RSI@2|Bacteria,1N053@1224|Proteobacteria,1S9DM@1236|Gammaproteobacteria,1MSY4@122277|Pectobacterium",1236|Gammaproteobacteria,M,Bacterial protein of unknown function (DUF903),ygdI,-,-,-,-,-,-,-,-,-,-,-,DUF903
WP_011092614.1,218491.ECA1015,8.50E-173,612.8,"COG0583@1|root,COG0583@2|Bacteria,1MWY0@1224|Proteobacteria,1RP7Q@1236|Gammaproteobacteria,1MRHB@122277|Pectobacterium",1236|Gammaproteobacteria,K,LysR substrate binding domain,gcvA,"GO:0001130,GO:0001131,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K03566,"ko02026,map02026",-,-,-,"ko00000,ko00001,ko03000",-,-,-,"HTH_1,LysR_substrate"
WP_011092615.1,218491.ECA1016,1.00E-66,259.2,"COG2363@1|root,COG2363@2|Bacteria,1MZX3@1224|Proteobacteria,1SCNB@1236|Gammaproteobacteria,1MSGQ@122277|Pectobacterium",1236|Gammaproteobacteria,S,Protein of unknown function (DUF423),ygdD,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,DUF423
WP_011092616.1,218491.ECA1017,1.20E-218,765.4,"COG2933@1|root,COG2933@2|Bacteria,1MWBM@1224|Proteobacteria,1RMSB@1236|Gammaproteobacteria,1MPYX@122277|Pectobacterium",1236|Gammaproteobacteria,J,Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. RlmM subfamily,rlmM,"GO:0000154,GO:0000451,GO:0000453,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070677,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",2.1.1.186,ko:K06968,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,FtsJ
WP_011092617.1,218491.ECA1018,1.80E-144,518.5,"COG0258@1|root,COG0258@2|Bacteria,1MX9Y@1224|Proteobacteria,1RQZE@1236|Gammaproteobacteria,1MS9M@122277|Pectobacterium",1236|Gammaproteobacteria,L,"Has flap endonuclease activity. During DNA replication, flap endonucleases cleave the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment",xni,"GO:0000287,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004527,GO:0004536,GO:0005488,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006308,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016888,GO:0016893,GO:0017108,GO:0019439,GO:0022616,GO:0030955,GO:0031420,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0046872,GO:0048256,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1901576",-,ko:K01146,-,-,-,-,ko00000,-,-,-,"5_3_exonuc,5_3_exonuc_N"
WP_011092618.1,218491.ECA1019,3.60E-260,903.7,"COG1611@1|root,COG1611@2|Bacteria,1MVQJ@1224|Proteobacteria,1RQHX@1236|Gammaproteobacteria,1MRW7@122277|Pectobacterium",1236|Gammaproteobacteria,S,Domain of unknown function (DUF4478),ygdH,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016787,GO:0016798,GO:0016799,GO:0044424,GO:0044444,GO:0044464,GO:0047405",3.2.2.10,ko:K06966,"ko00230,ko00240,map00230,map00240",-,"R00182,R00510","RC00063,RC00318","ko00000,ko00001,ko01000",-,-,-,"DUF3412,DUF4478,Lysine_decarbox"
WP_011092619.1,218491.ECA1020,2.10E-165,588.2,"COG0780@1|root,COG2904@1|root,COG0780@2|Bacteria,COG2904@2|Bacteria,1MW0M@1224|Proteobacteria,1RNXM@1236|Gammaproteobacteria,1MRH9@122277|Pectobacterium",1236|Gammaproteobacteria,F,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1),queF,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008616,GO:0009058,GO:0009116,GO:0009119,GO:0009163,GO:0009987,GO:0016491,GO:0016645,GO:0016646,GO:0016651,GO:0016657,GO:0018130,GO:0019438,GO:0033739,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046116,GO:0046483,GO:0055086,GO:0055114,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659",1.7.1.13,"ko:K06879,ko:K09457","ko00790,ko01100,map00790,map01100",-,R07605,RC01875,"ko00000,ko00001,ko01000,ko03016",-,-,"iSFV_1184.SFV_2663,iSF_1195.SF2807,iS_1188.S3002","QueF,QueF_N"
WP_011092620.1,218491.ECA1021,2.20E-99,368.2,"28Q4G@1|root,2ZCMR@2|Bacteria,1RAB3@1224|Proteobacteria,1S2N3@1236|Gammaproteobacteria,1MR6N@122277|Pectobacterium",1236|Gammaproteobacteria,S,"Interacts with the SecY protein in vivo. May bind preferentially to an uncomplexed state of SecY, thus functioning either as a chelating agent for excess SecY in the cell or as a regulatory factor that negatively controls the translocase function",syd,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0009898,GO:0016020,GO:0019897,GO:0019898,GO:0031234,GO:0043254,GO:0044087,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050794,GO:0051128,GO:0065007,GO:0071944,GO:0098552,GO:0098562",-,ko:K15723,-,-,-,-,ko00000,-,-,-,Syd
WP_011092621.1,218491.ECA1022,0,1109,"COG1574@1|root,COG1574@2|Bacteria,1MWP2@1224|Proteobacteria,1RZI0@1236|Gammaproteobacteria,1MPXA@122277|Pectobacterium",1236|Gammaproteobacteria,S,Amidohydrolase family,-,-,-,-,-,-,-,-,-,-,-,-,Amidohydro_3
WP_011092622.1,218491.ECA1023,1.50E-79,302,"COG1846@1|root,COG1846@2|Bacteria,1N6CQ@1224|Proteobacteria,1SQ2Y@1236|Gammaproteobacteria,1MQMM@122277|Pectobacterium",1236|Gammaproteobacteria,K,Winged helix DNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,-,MarR_2
WP_011092623.1,218491.ECA1024,5.70E-61,240,"COG3098@1|root,COG3098@2|Bacteria,1N7AG@1224|Proteobacteria,1SCXJ@1236|Gammaproteobacteria,1MSK9@122277|Pectobacterium",1236|Gammaproteobacteria,S,tRNA pseudouridine synthase C,yqcC,"GO:0008150,GO:0009987,GO:0042710,GO:0044010,GO:0044764,GO:0051704",5.1.3.13,ko:K01790,"ko00521,ko00523,ko01130,map00521,map00523,map01130",M00793,R06514,RC01531,"ko00000,ko00001,ko00002,ko01000",-,-,-,DUF446
WP_011092624.1,218491.ECA1025,2.30E-150,538.1,"COG0564@1|root,COG0564@2|Bacteria,1N8GW@1224|Proteobacteria,1RMZ7@1236|Gammaproteobacteria,1MRT2@122277|Pectobacterium",1236|Gammaproteobacteria,J,RNA pseudouridylate synthase,truC,"GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360",5.4.99.26,ko:K06175,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,PseudoU_synth_2
WP_011092625.1,218491.ECA1026,9.90E-82,309.3,"COG0716@1|root,COG0716@2|Bacteria,1N27T@1224|Proteobacteria,1S906@1236|Gammaproteobacteria,1MRGY@122277|Pectobacterium",1236|Gammaproteobacteria,C,Flavodoxin,yqcA,"GO:0000166,GO:0003674,GO:0005488,GO:0010181,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0048037,GO:0050662,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K06205,-,-,-,-,ko00000,-,-,-,Flavodoxin_1
WP_011092626.1,218491.ECA1027,1.10E-65,255.8,"28NXJ@1|root,2ZBV4@2|Bacteria,1RD2V@1224|Proteobacteria,1S3XU@1236|Gammaproteobacteria,1MSJ7@122277|Pectobacterium",1236|Gammaproteobacteria,S,Belongs to the UPF0325 family,yaeH,-,-,-,-,-,-,-,-,-,-,-,DUF3461
WP_011092627.1,218491.ECA1028,8.50E-140,503.1,"COG2171@1|root,COG2171@2|Bacteria,1MU0Y@1224|Proteobacteria,1RPCS@1236|Gammaproteobacteria,1MS11@122277|Pectobacterium",1236|Gammaproteobacteria,E,Belongs to the transferase hexapeptide repeat family,dapD,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008666,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009987,GO:0016053,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0016748,GO:0016749,GO:0019752,GO:0019877,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.3.1.117,ko:K00674,"ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230",M00016,R04365,"RC00004,RC01136","ko00000,ko00001,ko00002,ko01000",-,-,iSbBS512_1146.SbBS512_E0158,"Hexapep,Hexapep_2,THDPS_N_2"
WP_011092628.1,218491.ECA1029,0,1810.4,"COG2844@1|root,COG2844@2|Bacteria,1MV54@1224|Proteobacteria,1RN5T@1236|Gammaproteobacteria,1MRY0@122277|Pectobacterium",1236|Gammaproteobacteria,F,"Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen",glnD,"GO:0003674,GO:0003824,GO:0006082,GO:0006464,GO:0006520,GO:0006541,GO:0006542,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008773,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016740,GO:0016772,GO:0016779,GO:0019538,GO:0019752,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0046394,GO:0070569,GO:0071704,GO:0140096,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.7.7.59,ko:K00990,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko01000",-,-,-,"ACT,GlnD_UR_UTase,HD,NTP_transf_2"
WP_011092629.1,218491.ECA1030,4.30E-149,533.9,"COG0024@1|root,COG0024@2|Bacteria,1MU99@1224|Proteobacteria,1RMHN@1236|Gammaproteobacteria,1MQPT@122277|Pectobacterium",1236|Gammaproteobacteria,E,Methionine aminopeptidase,map,"GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008198,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0009987,GO:0016787,GO:0019538,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0070006,GO:0070011,GO:0070084,GO:0071704,GO:0140096,GO:1901564",3.4.11.18,ko:K01265,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_M24
WP_011092630.1,218491.ECA1031,5.20E-133,480.3,"COG0052@1|root,COG0052@2|Bacteria,1MU33@1224|Proteobacteria,1RN0Z@1236|Gammaproteobacteria,1MPV7@122277|Pectobacterium",1236|Gammaproteobacteria,J,Belongs to the universal ribosomal protein uS2 family,rpsB,"GO:0000028,GO:0003674,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02967,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S2
WP_011092631.1,218491.ECA1032,7.90E-149,533.1,"COG0264@1|root,COG0264@2|Bacteria,1MUS2@1224|Proteobacteria,1RPBJ@1236|Gammaproteobacteria,1MQKK@122277|Pectobacterium",1236|Gammaproteobacteria,J,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,tsf,"GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0005085,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006414,GO:0006518,GO:0006807,GO:0008135,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0019899,GO:0034641,GO:0034645,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0051020,GO:0065007,GO:0065009,GO:0071704,GO:0097159,GO:0098772,GO:1901363,GO:1901564,GO:1901566,GO:1901576",-,ko:K02357,-,-,-,-,"ko00000,ko03012,ko03029",-,-,-,EF_TS
WP_011092632.1,218491.ECA1034,6.80E-93,346.7,"COG0233@1|root,COG0233@2|Bacteria,1N66T@1224|Proteobacteria,1RN75@1236|Gammaproteobacteria,1MSFG@122277|Pectobacterium",1236|Gammaproteobacteria,J,Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another,frr,"GO:0002181,GO:0002184,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043021,GO:0043023,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0071840,GO:1901564,GO:1901566,GO:1901576",-,ko:K02838,-,-,-,-,"ko00000,ko03012",-,-,-,RRF
